"filename", "language", "XML", "ASP.NET Razor", "C#", "JSON", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\App.csproj", "XML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditCase.cshtml", "ASP.NET Razor", 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditCase.cshtml.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 0, 2, 11, 55
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditDesktopComputer.cshtml", "ASP.NET Razor", 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditDesktopComputer.cshtml.cs", "C#", 0, 0, 81, 0, 0, 0, 0, 0, 2, 22, 105
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditDiskDrive.cshtml", "ASP.NET Razor", 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditDiskDrive.cshtml.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 2, 15, 69
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditGraphicCard.cshtml", "ASP.NET Razor", 0, 57, 0, 0, 0, 0, 0, 0, 0, 15, 72
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditGraphicCard.cshtml.cs", "C#", 0, 0, 72, 0, 0, 0, 0, 0, 2, 21, 95
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditKeyboard.cshtml", "ASP.NET Razor", 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditKeyboard.cshtml.cs", "C#", 0, 0, 53, 0, 0, 0, 0, 0, 3, 16, 72
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditLaptop.cshtml", "ASP.NET Razor", 0, 60, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditLaptop.cshtml.cs", "C#", 0, 0, 78, 0, 0, 0, 0, 0, 3, 22, 103
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditMonitor.cshtml", "ASP.NET Razor", 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditMonitor.cshtml.cs", "C#", 0, 0, 65, 0, 0, 0, 0, 0, 2, 18, 85
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditMotherBoard.cshtml", "ASP.NET Razor", 0, 58, 0, 0, 0, 0, 0, 0, 0, 12, 70
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditMotherBoard.cshtml.cs", "C#", 0, 0, 72, 0, 0, 0, 0, 0, 3, 20, 95
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditMouse.cshtml", "ASP.NET Razor", 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditMouse.cshtml.cs", "C#", 0, 0, 53, 0, 0, 0, 0, 0, 3, 17, 73
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditPowerSupply.cshtml", "ASP.NET Razor", 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditPowerSupply.cshtml.cs", "C#", 0, 0, 55, 0, 0, 0, 0, 0, 3, 16, 74
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditPrinter.cshtml", "ASP.NET Razor", 0, 42, 0, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditPrinter.cshtml.cs", "C#", 0, 0, 59, 0, 0, 0, 0, 0, 3, 19, 81
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditProcessor.cshtml", "ASP.NET Razor", 0, 44, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditProcessor.cshtml.cs", "C#", 0, 0, 60, 0, 0, 0, 0, 0, 4, 17, 81
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditProductModel.cs", "C#", 0, 0, 122, 0, 0, 0, 0, 0, 0, 32, 154
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditRam.cshtml", "ASP.NET Razor", 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditRam.cshtml.cs", "C#", 0, 0, 44, 0, 0, 0, 0, 0, 3, 15, 62
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditSmartphone.cshtml", "ASP.NET Razor", 0, 67, 0, 0, 0, 0, 0, 0, 0, 15, 82
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AddOrEditSmartphone.cshtml.cs", "C#", 0, 0, 81, 0, 0, 0, 0, 0, 3, 22, 106
